equipment_id,equipment_name,equipment_description,equipment_category,ta_created_at,ta_updated_at
-1,N/A,N/A,N/A,2025-12-01 15:39:54.599 +0200,
1,Barbell,N/A,Free weight,2025-12-01 15:39:54.599 +0200,
2,Cable,N/A,Consistent resistance,2025-12-01 15:39:54.599 +0200,
3,Chain,N/A,Variable resistance,2025-12-01 15:39:54.599 +0200,
4,Elastic band,N/A,Variable resistance,2025-12-01 15:39:54.599 +0200,
5,Weighted belt,N/A,Free weight,2025-12-01 15:39:54.599 +0200,
6,Gravity,N/A,Free weight,2025-12-01 15:39:54.599 +0200,
7,Machine-specific,N/A,Depends on the machine,2025-12-01 15:39:54.599 +0200,
8,Kettlebell,N/A,Free weight,2025-12-01 15:39:54.599 +0200,
9,Dumbbell,N/A,Free weight,2025-12-01 15:39:54.599 +0200,
10,Bodyweight,N/A,Free weight,2025-12-01 15:39:54.599 +0200,
11,Hexbar,N/A,Free weight,2025-12-01 15:39:54.599 +0200,
12,T bar,N/A,Free weight,2025-12-01 15:39:54.599 +0200,
13,Hack squat, N/A, Machines,2026-01-27 23:59:54.599 +0200,
14,Ab Wheel,N/A,Free weight,2026-01-27 23:59:54.599 +0200,
